Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
50,33.333333333333336,3,15.833333333333337,4.22,0.778312557068642,3,1.7983
100,20.0,5,19.433333333333334,4.14,0.6057704364907278,3,1.1634
150,33.333333333333336,3,20.86666666666667,4.0,0.47147873742168567,3,1.6287
200,33.333333333333336,3,29.06666666666667,3.48,0.3669578217261671,3,1.1534
250,33.333333333333336,3,30.1,3.34,0.285607880564032,3,1.3728
300,33.333333333333336,3,31.46666666666667,3.24,0.22229219984074702,3,1.0583
350,33.333333333333336,3,30.73333333333333,3.28,0.1730128104744653,3,0.3473
400,25.0,4,32.00000000000001,3.16,0.1346580429260134,3,0.0387
450,33.333333333333336,3,32.00000000000001,3.16,0.10480604571960442,3,0.1000
500,33.333333333333336,3,32.833333333333336,3.06,0.08157186144027828,3,0.0481
550,33.333333333333336,3,32.66666666666667,3.08,0.06348840406243188,3,0.0670
600,33.333333333333336,3,33.16666666666667,3.02,0.0494138221100385,3,0.0699
650,33.333333333333336,3,33.16666666666667,3.02,0.03845939824099909,3,0.0360
700,33.333333333333336,3,32.833333333333336,3.06,0.029933432588273214,3,0.0164
750,33.333333333333336,3,33.16666666666667,3.02,0.023297566459620722,3,0.0604
800,33.333333333333336,3,33.333333333333336,3.0,0.018132788524664028,3,0.0094
850,33.333333333333336,3,33.0,3.04,0.014112977003416188,3,0.0042
900,33.333333333333336,3,33.00000000000001,3.04,0.01098430721937979,3,0.0051
950,33.333333333333336,3,33.0,3.04,0.01,3,0.0386
1000,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0197
1050,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0019
1100,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0031
1150,33.333333333333336,3,33.0,3.04,0.01,3,0.0045
1200,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0012
1250,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0024
1300,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0030
1350,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0063
1400,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0054
1450,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0009
1500,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0041
1550,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0021
1600,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0008
1650,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0014
1700,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0137
1750,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0002
1800,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0010
1850,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0012
1900,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0016
1950,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0027
2000,33.333333333333336,3,32.833333333333336,3.06,0.01,3,0.0037
2050,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0019
2100,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0013
2150,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0016
2200,33.333333333333336,3,33.0,3.04,0.01,3,0.0008
2250,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0095
2300,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0025
2350,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0016
2400,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0045
2450,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0065
2500,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0119
2550,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0061
2600,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0033
2650,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0224
2700,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0002
2750,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0032
2800,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0043
2850,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0032
2900,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0055
2950,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0074
3000,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0088
3050,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0000
3100,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0000
3150,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0020
3200,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0013
3250,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0005
3300,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0043
3350,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0000
3400,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0011
3450,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0034
3500,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0001
3550,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0000
3600,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0004
3650,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0002
3700,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0003
3750,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0008
3800,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0001
3850,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0014
3900,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0006
3950,33.333333333333336,3,33.0,3.04,0.01,3,0.0034
4000,33.333333333333336,3,33.0,3.04,0.01,3,0.0002
4050,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0222
4100,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0813
4150,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0001
4200,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0001
4250,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0091
4300,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0118
4350,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0000
4400,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0000
4450,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0009
4500,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0017
4550,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0000
4600,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0000
4650,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0008
4700,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0008
4750,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0002
4800,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0004
4850,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0033
4900,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0003
4950,33.333333333333336,3,33.0,3.04,0.01,3,0.0019
5000,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0018
5050,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0004
5100,33.333333333333336,3,33.0,3.04,0.01,3,0.0003
5150,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0025
5200,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0018
5250,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0001
5300,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0013
5350,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0072
5400,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0010
5450,33.333333333333336,3,33.0,3.04,0.01,3,0.0006
5500,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0005
5550,33.333333333333336,3,33.16666666666667,3.02,0.01,3,0.0008
5600,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0007
5650,33.333333333333336,3,33.333333333333336,3.0,0.01,3,0.0003
