Episode,TotalReward,Steps,AvgReward,AvgSteps,Epsilon,BestNetworkLen,Loss
50,-10.0,10,-1.687301587301587,9.48,0.778312557068642,5,0.8930
100,-10.0,10,1.7380952380952381,9.3,0.6057704364907278,5,2.8994
150,10.0,10,-1.803968253968254,9.3,0.47147873742168567,5,0.7931
200,-10.0,10,3.8873015873015877,8.68,0.3669578217261671,5,1.9036
250,-10.0,10,3.033333333333333,8.92,0.285607880564032,5,1.4918
300,11.11111111111111,9,11.065079365079363,7.66,0.22229219984074702,5,0.9092
350,16.666666666666668,6,9.904761904761905,8.08,0.1730128104744653,5,1.6394
400,14.285714285714286,7,10.230952380952381,8.1,0.1346580429260134,5,1.5855
450,12.5,8,11.019047619047619,7.62,0.10480604571960442,5,1.1091
500,16.666666666666668,6,13.563492063492065,7.24,0.08157186144027828,5,1.1957
550,16.666666666666668,6,15.97936507936508,6.36,0.06348840406243188,5,0.7463
600,16.666666666666668,6,16.164285714285715,6.24,0.0494138221100385,5,0.9431
650,16.666666666666668,6,16.297619047619047,6.16,0.03845939824099909,5,0.7850
700,16.666666666666668,6,16.293650793650794,6.18,0.029933432588273214,5,1.0017
750,16.666666666666668,6,16.186507936507937,6.22,0.023297566459620722,5,0.5151
800,11.11111111111111,9,16.28174603174603,6.18,0.018132788524664028,5,0.3710
850,16.666666666666668,6,16.53571428571429,6.06,0.014112977003416188,5,0.4811
900,16.666666666666668,6,16.53571428571429,6.06,0.01098430721937979,5,0.3883
950,16.666666666666668,6,16.61904761904762,6.02,0.01,5,0.1809
1000,16.666666666666668,6,16.50793650793651,6.08,0.01,5,0.3910
1050,16.666666666666668,6,16.345238095238095,6.14,0.01,5,0.2197
1100,16.666666666666668,6,16.571428571428573,6.04,0.01,5,0.2129
1150,16.666666666666668,6,16.666666666666668,6.0,0.01,5,0.1791
1200,14.285714285714286,7,16.61904761904762,6.02,0.01,5,0.2347
1250,16.666666666666668,6,16.3968253968254,6.14,0.01,5,0.0684
1300,16.666666666666668,6,16.444444444444443,6.12,0.01,5,0.1193
1350,16.666666666666668,6,16.666666666666668,6.0,0.01,5,0.1529
1400,16.666666666666668,6,16.666666666666668,6.0,0.01,5,0.2237
1450,16.666666666666668,6,16.523809523809522,6.06,0.01,5,0.1418
1500,16.666666666666668,6,16.583333333333336,6.04,0.01,5,0.0473
1550,16.666666666666668,6,16.190476190476193,6.22,0.01,5,0.0858
1600,16.666666666666668,6,16.404761904761905,6.12,0.01,5,0.1399
1650,16.666666666666668,6,16.571428571428573,6.04,0.01,5,0.0111
1700,16.666666666666668,6,16.50793650793651,6.08,0.01,5,0.0712
1750,16.666666666666668,6,16.38095238095238,6.12,0.01,5,0.0894
1800,16.666666666666668,6,16.666666666666668,6.0,0.01,5,0.1440
1850,16.666666666666668,6,16.61904761904762,6.02,0.01,5,0.0248
1900,16.666666666666668,6,16.61904761904762,6.02,0.01,5,0.0260
1950,16.666666666666668,6,16.542857142857144,6.06,0.01,5,0.2454
2000,16.666666666666668,6,16.50793650793651,6.08,0.01,5,0.0344
2050,16.666666666666668,6,16.571428571428573,6.04,0.01,5,0.0009
2100,16.666666666666668,6,16.523809523809522,6.06,0.01,5,0.0023
2150,16.666666666666668,6,16.61904761904762,6.02,0.01,5,0.0039
2200,16.666666666666668,6,16.666666666666668,6.0,0.01,5,0.0055
2250,16.666666666666668,6,16.733333333333334,5.98,0.01,5,0.0901
2300,16.666666666666668,6,16.60952380952381,6.04,0.01,5,0.7501
2350,20.0,5,16.580952380952382,6.06,0.01,5,0.0093
2400,20.0,5,19.46666666666667,5.16,0.01,5,0.0157
2450,20.0,5,19.733333333333334,5.08,0.01,5,0.0390
2500,20.0,5,19.8,5.06,0.01,5,0.0112
2550,20.0,5,19.933333333333334,5.02,0.01,5,0.0148
2600,20.0,5,19.633333333333336,5.14,0.01,5,0.0358
2650,20.0,5,19.933333333333334,5.02,0.01,5,0.0103
2700,20.0,5,19.485714285714288,5.16,0.01,5,0.0419
2750,20.0,5,19.866666666666667,5.04,0.01,5,0.1074
2800,20.0,5,19.8,5.06,0.01,5,0.0106
2850,20.0,5,19.933333333333334,5.02,0.01,5,0.0215
2900,20.0,5,19.866666666666667,5.04,0.01,5,0.0078
2950,20.0,5,19.933333333333334,5.02,0.01,5,0.0188
3000,20.0,5,19.8,5.06,0.01,5,0.0438
