Episode,TotalReward,AvgReward,Epsilon
50,12.125,9.83875,0.778312557068642
100,12.8125,10.85,0.6057704364907278
150,6.875,10.95625,0.47147873742168567
200,6.1875,10.85375,0.3669578217261671
250,9.4375,11.8775,0.285607880564032
300,13.8125,11.785,0.22229219984074702
350,12.9375,11.60875,0.1730128104744653
400,13.0625,12.245,0.1346580429260134
450,12.6875,12.72,0.10480604571960442
500,13.75,12.7725,0.08157186144027828
550,10.5,11.68,0.06348840406243188
600,11.9375,11.185,0.05
650,13.6875,12.2475,0.05
700,13.8125,12.6275,0.05
750,12.125,12.8675,0.05
800,13.8125,13.15125,0.05
850,4.5,12.5775,0.05
900,11.0,12.68125,0.05
950,12.6875,12.5625,0.05
1000,11.6875,12.02875,0.05
