Episode,TotalReward,AvgReward,Epsilon
50,-79,27.64,0.778312557068642
100,77,24.66,0.6057704364907278
150,73,1.64,0.47147873742168567
200,78,16.86,0.3669578217261671
250,-79,7.14,0.285607880564032
300,76,-5.0,0.22229219984074702
350,76,-33.04,0.1730128104744653
400,-79,-48.58,0.1346580429260134
450,74,-33.14,0.10480604571960442
500,-79,-36.42,0.08157186144027828
550,-79,-60.72,0.06348840406243188
600,-79,-45.06,0.05
650,-79,-60.56,0.05
700,83,-14.26,0.05
750,-79,-14.16,0.05
800,72,-42.54,0.05
850,-79,-45.74,0.05
900,-79,-51.48,0.05
950,72,-51.48,0.05
1000,-79,-39.28,0.05
